institution name,longitude,latitude,In-state min tuition,In-state max tuition,Out-of-state min tuition ,Out-of-state max tuition,Undergraduate enrollment,Graduate enrollment,Graduation rate,is_public,fees,location,aboutText
Alabama A & M University,-86.568502,34.783368,8610.0,10128.0,17220.0,20160.0,5845.0,769.0,29.0,True,1414.0,"Normal, Alabama","A public university located in Normal, Alabama"
University of Alabama at Birmingham,-86.799345,33.505697,8424.0,8832.0,20556.0,21864.0,12382.0,8778.0,62.0,True,0.0,"Birmingham, Alabama","A public university located in Birmingham, Alabama"
Amridge University,-86.17401,32.362609,9480.0,11700.0,9480.0,11700.0,226.0,410.0,40.0,False,990.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
University of Alabama in Huntsville,-86.640449,34.724557,10120.0,10632.0,23012.0,24430.0,6851.0,1892.0,62.0,True,1758.0,"Huntsville, Alabama","A public university located in Huntsville, Alabama"
Alabama State University,-86.295677,32.364317,7416.0,8328.0,14832.0,16656.0,3322.0,548.0,30.0,True,2920.0,"Montgomery, Alabama","A public university located in Montgomery, Alabama"
University of Alabama System Office,-87.529594,33.207015,9929.360655737704,10845.75,14105.22950819672,15730.4375,3323.9736842105262,705.9736842105264,44.22580645,True,,"Tuscaloosa, Alabama","A public university located in Tuscaloosa, Alabama"
The University of Alabama,-87.545978,33.211875,11100.0,11100.0,32400.0,32400.0,33435.0,6187.0,74.0,True,800.0,"Tuscaloosa, Alabama","A public university located in Tuscaloosa, Alabama"
Central Alabama Community College,-85.945266,32.92478,3810.0,10845.75,7620.0,15730.4375,1910.0,0.0,44.22580645,True,1230.0,"Alexander City, Alabama","A public university located in Alexander City, Alabama"
Athens State University,-86.964698,34.806793,7530.0,8688.0,15060.0,15072.0,2531.0,424.0,44.22580645,True,2310.0,"Athens, Alabama","A public university located in Athens, Alabama"
Auburn University at Montgomery,-86.177544,32.36736,8118.0,8568.0,18252.0,19224.0,3407.0,1782.0,36.0,True,868.0,"Montgomery, Alabama","A public university located in Montgomery, Alabama"
Auburn University,-85.488258,32.599378,10692.0,10704.0,32076.0,32112.0,26874.0,6141.0,79.0,True,1832.0,"Auburn, Alabama","A public university located in Auburn, Alabama"
Birmingham-Southern College,-86.850552,33.513774,8400.0,21500.0,8400.0,21500.0,713.0,18.0,64.0,False,1250.0,"Birmingham, Alabama","A private university located in Birmingham, Alabama"
Chattahoochee Valley Community College,-85.031485,32.42391,3810.0,10845.75,7620.0,15730.4375,1712.0,0.0,44.22580645,True,1230.0,"Phenix City, Alabama","A public university located in Phenix City, Alabama"
South University-Montgomery,-86.216488,32.342684,15732.0,16056.0,15732.0,16056.0,302.0,17.0,51.84767221,False,720.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
Enterprise State Community College,-85.836956,31.297496,3810.0,10845.75,7620.0,15730.4375,2248.0,0.0,44.22580645,True,1230.0,"Enterprise, Alabama","A public university located in Enterprise, Alabama"
Coastal Alabama Community College,-87.778193,30.851343,3810.0,10845.75,7620.0,15730.4375,6791.0,0.0,44.22580645,True,1170.0,"Bay Minette, Alabama","A public university located in Bay Minette, Alabama"
Faulkner University,-86.21641,32.384181,15125.0,21930.0,15125.0,21930.0,1793.0,1140.0,37.0,False,1990.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
Gadsden State Community College,-85.991438,33.994001,3048.0,10845.75,6096.0,15730.4375,4728.0,0.0,44.22580645,True,984.0,"Gadsden, Alabama","A public university located in Gadsden, Alabama"
New Beginning College of Cosmetology,-86.196931,34.27871,9929.360655737704,10845.75,14105.22950819672,15730.4375,39.0,0.0,44.22580645,False,,"Albertville, Alabama","A private university located in Albertville, Alabama"
George C Wallace Community College-Dothan,-85.465836,31.315274,3810.0,10845.75,7620.0,15730.4375,4010.0,0.0,44.22580645,True,1110.0,"Dothan, Alabama","A public university located in Dothan, Alabama"
George C Wallace State Community College-Hanceville,-86.781935,34.072439,3810.0,10845.75,7620.0,15730.4375,6023.0,0.0,44.22580645,True,1170.0,"Hanceville, Alabama","A public university located in Hanceville, Alabama"
George C Wallace State Community College-Selma,-87.013294,32.445917,3810.0,10845.75,7620.0,15730.4375,1935.0,0.0,44.22580645,True,870.0,"Selma, Alabama","A public university located in Selma, Alabama"
Herzing University-Birmingham,-86.832465,33.468466,8100.0,12360.0,8100.0,12360.0,446.0,2.0,51.84767221,False,1060.0,"Birmingham, Alabama","A private university located in Birmingham, Alabama"
Huntingdon College,-86.284366,32.351034,14000.0,27150.0,14000.0,27150.0,866.0,3.0,47.0,False,1500.0,"Montgomery, Alabama","A private university located in Montgomery, Alabama"
Heritage Christian University,-87.663051,34.856153,4482.0,10152.0,4482.0,10152.0,70.0,88.0,50.0,False,1830.0,"Florence, Alabama","A private university located in Florence, Alabama"
J. F. Drake State Community and Technical College,-86.572885,34.771858,3810.0,10845.75,7620.0,15730.4375,1011.0,0.0,44.22580645,True,1320.0,"Huntsville, Alabama","A public university located in Huntsville, Alabama"
J F Ingram State Technical College,-86.392369,32.582312,5343.0,10845.75,5343.0,15730.4375,826.0,0.0,44.22580645,True,741.0,"Deatsville, Alabama","A public university located in Deatsville, Alabama"
Jacksonville State University,-85.765321,33.822938,10128.0,10290.0,16464.0,20580.0,8378.0,1294.0,51.0,True,2136.0,"Jacksonville, Alabama","A public university located in Jacksonville, Alabama"
Jefferson State Community College,-86.707233,33.652535,3810.0,10845.75,7620.0,15730.4375,8839.0,0.0,44.22580645,True,1230.0,"Birmingham, Alabama","A public university located in Birmingham, Alabama"
John C Calhoun State Community College,-86.949674,34.645844,3810.0,10845.75,7620.0,15730.4375,8736.0,0.0,44.22580645,True,1250.0,"Tanner, Alabama","A public university located in Tanner, Alabama"
Lawson State Community College,-86.888844,33.450814,3810.0,10845.75,7620.0,15730.4375,3153.0,0.0,44.22580645,True,1170.0,"Birmingham, Alabama","A public university located in Birmingham, Alabama"
University of West Alabama,-88.186329,32.588132,6678.0,9100.0,13356.0,18200.0,2673.0,3521.0,37.0,True,1890.0,"Livingston, Alabama","A public university located in Livingston, Alabama"
Lurleen B Wallace Community College,-86.452262,31.322947,3810.0,10845.75,7620.0,15730.4375,2130.0,0.0,44.22580645,True,1170.0,"Andalusia, Alabama","A public university located in Andalusia, Alabama"
Marion Military Institute,-87.322041,32.623734,6000.0,10845.75,12000.0,15730.4375,308.0,0.0,44.22580645,True,3538.0,"Marion, Alabama","A public university located in Marion, Alabama"
Miles College,-86.908751,33.482442,10845.75,11164.0,11164.0,15730.4375,1151.0,0.0,26.0,False,1550.0,"Fairfield, Alabama","A private university located in Fairfield, Alabama"
University of Mobile,-88.128934,30.793247,13500.0,24580.0,13500.0,24580.0,1688.0,223.0,56.0,False,1540.0,"Mobile, Alabama","A private university located in Mobile, Alabama"
University of Montevallo,-86.865099,33.10625,10512.0,12090.0,25110.0,25128.0,2545.0,397.0,49.0,True,1620.0,"Montevallo, Alabama","A public university located in Montevallo, Alabama"
Northwest Shoals Community College,-87.678089,34.739788,3810.0,10845.75,7620.0,15730.4375,4136.0,0.0,44.22580645,True,1261.0,"Muscle Shoals, Alabama","A public university located in Muscle Shoals, Alabama"
University of North Alabama,-87.680407,34.80731,8910.0,10200.0,17820.0,20400.0,7451.0,2608.0,54.0,True,1790.0,"Florence, Alabama","A public university located in Florence, Alabama"
Northeast Alabama Community College,-85.911664,34.545471,3810.0,10845.75,7620.0,15730.4375,2905.0,0.0,44.22580645,True,1170.0,"Rainsville, Alabama","A public university located in Rainsville, Alabama"
Oakwood University,-86.652705,34.756344,13680.0,20722.0,13680.0,20722.0,1279.0,40.0,50.0,False,1116.0,"Huntsville, Alabama","A private university located in Huntsville, Alabama"
Reid State Technical College,-86.964797,31.460265,4600.0,10845.75,9200.0,15730.4375,576.0,0.0,44.22580645,True,1500.0,"Evergreen, Alabama","A public university located in Evergreen, Alabama"
Bishop State Community College,-88.056982,30.693972,3810.0,10845.75,7620.0,15730.4375,3568.0,0.0,44.22580645,True,1470.0,"Mobile, Alabama","A public university located in Mobile, Alabama"
Samford University,-86.791799,33.464128,21904.0,37144.0,21904.0,37144.0,3832.0,1959.0,80.0,False,1000.0,"Birmingham, Alabama","A private university located in Birmingham, Alabama"
Selma University,-87.032392,32.420387,4800.0,4800.0,4800.0,4800.0,47.0,13.0,11.0,False,0.0,"Selma, Alabama","A private university located in Selma, Alabama"
Shelton State Community College,-87.56148,33.120531,3810.0,10845.75,7620.0,15730.4375,4536.0,0.0,44.22580645,True,1257.0,"Tuscaloosa, Alabama","A public university located in Tuscaloosa, Alabama"
Snead State Community College,-86.169897,34.201495,3810.0,10845.75,7620.0,15730.4375,2767.0,0.0,44.22580645,True,1408.0,"Boaz, Alabama","A public university located in Boaz, Alabama"
University of South Alabama,-88.178711,30.696033,8640.0,8976.0,17280.0,17952.0,8914.0,4854.0,52.0,True,700.0,"Mobile, Alabama","A public university located in Mobile, Alabama"
Spring Hill College,-88.138199,30.694751,7839.0,22820.0,7839.0,22820.0,851.0,126.0,56.0,False,450.0,"Mobile, Alabama","A private university located in Mobile, Alabama"
Stillman College,-87.585278,33.200006,9548.0,10845.75,9548.0,15730.4375,779.0,0.0,41.0,False,1844.0,"Tuscaloosa, Alabama","A private university located in Tuscaloosa, Alabama"
Talladega College,-86.112704,33.433472,12130.0,16000.0,12130.0,16000.0,782.0,55.0,65.0,False,3520.0,"Talladega, Alabama","A private university located in Talladega, Alabama"
H Councill Trenholm State Community College,-86.343057,32.350109,3810.0,10845.75,7620.0,15730.4375,1907.0,0.0,44.22580645,True,1080.0,"Montgomery, Alabama","A public university located in Montgomery, Alabama"
Troy University,-85.95802,31.799583,8550.0,9792.0,17100.0,19584.0,10468.0,3455.0,46.0,True,0.0,"Troy, Alabama","A public university located in Troy, Alabama"
Tuskegee University,-85.708492,32.4309,19594.0,20378.0,19594.0,20378.0,2400.0,446.0,57.0,False,3846.0,"Tuskegee, Alabama","A private university located in Tuskegee, Alabama"
United States Sports Academy,-87.91163,30.639329,18900.0,19440.0,18900.0,19440.0,144.0,128.0,44.22580645,False,0.0,"Daphne, Alabama","A private university located in Daphne, Alabama"
Bevill State Community College,-87.265258,33.837056,3556.0,10845.75,7112.0,15730.4375,3946.0,0.0,44.22580645,True,1122.0,"Jasper, Alabama","A public university located in Jasper, Alabama"
University of Alaska Anchorage,-149.82619,61.190163,6192.0,9234.0,19422.0,19776.0,10162.0,634.0,28.0,True,1374.0,"Anchorage, Alaska","A public university located in Anchorage, Alaska"
Alaska Bible College,-149.111972,61.598553,10200.0,10881.25,10200.0,19507.0,65.0,0.0,100.0,False,730.0,"Palmer, Alaska","A private university located in Palmer, Alaska"
University of Alaska Fairbanks,-147.823146,64.85756,8041.0,11459.0,23492.0,23789.0,5638.0,1002.0,33.0,True,1975.0,"Fairbanks, Alaska","A public university located in Fairbanks, Alaska"
University of Alaska Southeast,-134.638255,58.384846,7224.0,11132.0,23072.0,23414.0,1678.0,240.0,33.0,True,1596.0,"Juneau, Alaska","A public university located in Juneau, Alaska"
Alaska Pacific University,-149.804168,61.190968,11700.0,20350.0,11700.0,20350.0,437.0,141.0,41.0,False,410.0,"Anchorage, Alaska","A private university located in Anchorage, Alaska"
Alaska Vocational Technical Center,-149.444487,60.110626,10487.75,10881.25,16135.25,19507.0,452.0,0.0,39.333333333333336,True,,"Seward, Alaska","A public university located in Seward, Alaska"
Charter College,-149.839274,61.19633,10881.25,18075.0,18075.0,19507.0,2277.0,0.0,1.0,False,0.0,"Anchorage, Alaska","A private university located in Anchorage, Alaska"
Alaska Career College,-149.856954,61.181443,10487.75,10881.25,16135.25,19507.0,255.0,0.0,39.333333333333336,False,,"Anchorage, Alaska","A private university located in Anchorage, Alaska"
University of Alaska System of Higher Education,-147.848969,64.857516,10487.75,10881.25,16135.25,19507.0,2133.9,201.7,39.333333333333336,True,,"Fairbanks, Alaska","A public university located in Fairbanks, Alaska"
Empire Beauty School-Tucson,-110.927187,32.235657,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,213.0,0.0,40.89473684210526,False,,"Tucson, Arizona","A private university located in Tucson, Arizona"
Carrington College-Phoenix North,-112.104601,33.565758,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,1088.0,0.0,40.89473684210526,False,,"Phoenix, Arizona","A private university located in Phoenix, Arizona"
Carrington College-Mesa,-111.853218,33.39248,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,492.0,0.0,40.89473684210526,False,,"Mesa, Arizona","A private university located in Mesa, Arizona"
Carrington College-Tucson,-110.983056,32.224391,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,437.0,0.0,40.89473684210526,False,,"Tucson, Arizona","A private university located in Tucson, Arizona"
Arizona Academy of Beauty,-110.872305,32.237253,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,49.0,0.0,40.89473684210526,False,,"Tucson, Arizona","A private university located in Tucson, Arizona"
Miller-Motte College-Arizona Automotive Institute,-112.157344,33.537249,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,513.0,0.0,40.89473684210526,False,,"Glendale, Arizona","A private university located in Glendale, Arizona"
Brookline College-Phoenix,-112.112473,33.566102,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,714.0,37.0,67.0,False,,"Phoenix, Arizona","A private university located in Phoenix, Arizona"
Arizona State University Campus Immersion,-111.934383,33.417721,11308.0,12376.0,25722.0,31450.0,65174.0,14419.0,68.0,True,743.0,"Tempe, Arizona","A public university located in Tempe, Arizona"
Arizona Western College,-114.495968,32.689306,2820.0,16326.5,9630.0,18095.166666666668,8038.0,0.0,40.89473684210526,True,0.0,"Yuma, Arizona","A public university located in Yuma, Arizona"
University of Arizona,-110.950815,32.232672,11546.0,12718.0,32290.0,37053.0,41899.0,11102.0,66.0,True,1731.0,"Tucson, Arizona","A public university located in Tucson, Arizona"
Central Arizona College,-111.652501,32.957092,2250.0,16326.5,4500.0,18095.166666666668,5131.0,0.0,40.89473684210526,True,0.0,"Coolidge, Arizona","A public university located in Coolidge, Arizona"
Charles of Italy Beauty College,-114.332686,34.477485,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,88.0,0.0,40.89473684210526,False,,"Lake Havasu City, Arizona","A private university located in Lake Havasu City, Arizona"
Cochise County Community College District,-110.246946,31.564597,2232.0,16326.5,6000.0,18095.166666666668,3782.0,0.0,40.89473684210526,True,0.0,"Sierra Vista, Arizona","A public university located in Sierra Vista, Arizona"
Empire Beauty School-Chandler,-111.860423,33.347586,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,98.0,0.0,40.89473684210526,False,,"Chandler, Arizona","A private university located in Chandler, Arizona"
Avalon Institute-Mesa,-111.858305,33.376583,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,388.0,0.0,40.89473684210526,False,,"Mesa, Arizona","A private university located in Mesa, Arizona"
Eastern Arizona College,-109.76234,32.843664,2352.0,16326.5,9552.0,18095.166666666668,5076.0,0.0,40.89473684210526,True,0.0,"Thatcher, Arizona","A public university located in Thatcher, Arizona"
Embry-Riddle Aeronautical University-Prescott,-112.449741,34.616766,20340.0,40680.0,20340.0,40680.0,3250.0,36.0,70.0,False,1524.0,"Prescott, Arizona","A private university located in Prescott, Arizona"
The School of Architecture,-111.916785,33.524271,10633.857142857143,36000.0,14128.959183673467,36000.0,0.0,6.0,40.89473684210526,False,,"Scottsdale, Arizona","A private university located in Scottsdale, Arizona"
Glendale Community College,-112.190735,33.570226,2328.0,16326.5,8929.0,18095.166666666668,13480.0,0.0,40.89473684210526,True,30.0,"Glendale, Arizona","A public university located in Glendale, Arizona"
Grand Canyon University,-112.129929,33.513231,10138.0,16390.0,10138.0,16390.0,70929.0,36634.0,43.0,False,873.0,"Phoenix, Arizona","A private university located in Phoenix, Arizona"
Maricopa Community College System Office,-111.975786,33.412915,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,5316.931372549019,1150.450980392157,40.89473684210526,True,,"Tempe, Arizona","A public university located in Tempe, Arizona"
GateWay Community College,-111.997077,33.449686,2328.0,16326.5,8929.0,18095.166666666668,5123.0,0.0,40.89473684210526,True,30.0,"Phoenix, Arizona","A public university located in Phoenix, Arizona"
Mesa Community College,-111.871255,33.390323,2328.0,16326.5,8929.0,18095.166666666668,16624.0,0.0,40.89473684210526,True,30.0,"Mesa, Arizona","A public university located in Mesa, Arizona"
Mohave Community College,-114.029838,35.270996,1944.0,16326.5,7056.0,18095.166666666668,3693.0,0.0,40.89473684210526,True,192.0,"Kingman, Arizona","A public university located in Kingman, Arizona"
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,-112.288123,33.453005,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,567.0,0.0,40.89473684210526,False,,"Avondale, Arizona","A private university located in Avondale, Arizona"
Dine College,-109.21684,36.293328,1320.0,4500.0,1320.0,4500.0,1828.0,8.0,40.89473684210526,True,90.0,"Tsaile, Arizona","A public university located in Tsaile, Arizona"
Northern Arizona University,-111.653724,35.188449,11015.0,11674.0,17792.0,21204.0,23128.0,5058.0,57.0,True,1223.0,"Flagstaff, Arizona","A public university located in Flagstaff, Arizona"
Northland Pioneer College,-110.142199,34.93031,1948.0,16326.5,9371.0,18095.166666666668,2825.0,0.0,40.89473684210526,True,480.0,"Holbrook, Arizona","A public university located in Holbrook, Arizona"
Phoenix College,-112.088293,33.481361,2328.0,16326.5,8928.0,18095.166666666668,10384.0,0.0,40.89473684210526,True,30.0,"Phoenix, Arizona","A public university located in Phoenix, Arizona"
Pima Community College,-110.886659,32.222125,2208.0,16326.5,7524.0,18095.166666666668,15819.0,0.0,40.89473684210526,True,162.0,"Tucson, Arizona","A public university located in Tucson, Arizona"
Pima Medical Institute-Tucson,-110.878783,32.248067,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,2619.0,125.0,40.89473684210526,False,,"Tucson, Arizona","A private university located in Tucson, Arizona"
Pima Medical Institute-Albuquerque,-106.59488,35.104855,4438.533333333334,10413.583333333334,8609.366666666667,15725.166666666666,737.0,0.0,32.833333333333336,False,,"Albuquerque, New Mexico","A private university located in Albuquerque, New Mexico"
Prescott College,-112.477185,34.5452,17136.0,33960.0,17136.0,33960.0,257.0,652.0,36.0,False,1665.0,"Prescott, Arizona","A private university located in Prescott, Arizona"
Refrigeration School Inc,-111.989357,33.448692,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,1296.0,0.0,40.89473684210526,False,,"Phoenix, Arizona","A private university located in Phoenix, Arizona"
Rio Salado College,-111.97417,33.413309,2328.0,16326.5,8928.0,18095.166666666668,18631.0,0.0,40.89473684210526,True,30.0,"Tempe, Arizona","A public university located in Tempe, Arizona"
Roberto-Venn School of Luthiery,-112.086161,33.45489,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,15.0,0.0,40.89473684210526,False,,"Phoenix, Arizona","A private university located in Phoenix, Arizona"
Scottsdale Community College,-111.885186,33.51135,2328.0,16326.5,8929.0,18095.166666666668,6875.0,0.0,40.89473684210526,True,30.0,"Scottsdale, Arizona","A public university located in Scottsdale, Arizona"
South Mountain Community College,-112.032635,33.382406,2328.0,16326.5,8928.0,18095.166666666668,4157.0,0.0,40.89473684210526,True,30.0,"Phoenix, Arizona","A public university located in Phoenix, Arizona"
Arizona Christian University,-112.181776,33.622952,13230.0,32497.0,13230.0,32497.0,1210.0,23.0,41.0,False,2200.0,"Glendale, Arizona","A private university located in Glendale, Arizona"
Universal Technical Institute of Arizona Inc,-112.288123,33.453005,10633.857142857143,16326.5,14128.959183673467,18095.166666666668,1791.0,0.0,40.89473684210526,False,,"Avondale, Arizona","A private university located in Avondale, Arizona"
Yavapai College,-112.453395,34.547495,2838.0,16326.5,9344.0,18095.166666666668,7200.0,0.0,40.89473684210526,True,0.0,"Prescott, Arizona","A public university located in Prescott, Arizona"
University of Arkansas at Little Rock,-92.339778,34.723254,5850.0,6600.0,13266.0,19050.0,5789.0,2369.0,39.0,True,3017.0,"Little Rock, Arkansas","A public university located in Little Rock, Arkansas"
University of Arkansas for Medical Sciences,-92.322348,34.750152,7176.0,10694.0,14814.0,19715.0,1380.0,1895.0,45.08695652173913,True,1692.0,"Little Rock, Arkansas","A public university located in Little Rock, Arkansas"
Arkansas Baptist College,-92.290555,34.734751,8760.0,10644.40909090909,8760.0,13757.227272727272,373.0,0.0,3.0,False,0.0,"Little Rock, Arkansas","A private university located in Little Rock, Arkansas"
Arkansas Beauty School-Little Rock,-92.343366,34.672171,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,111.0,0.0,45.08695652173913,False,,"Little Rock, Arkansas","A private university located in Little Rock, Arkansas"
Arkansas Beauty College,-93.135369,35.27902,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,56.0,0.0,45.08695652173913,False,,"Russellville, Arkansas","A private university located in Russellville, Arkansas"
Lyon College,-91.625354,35.777619,9840.0,29900.0,9840.0,29900.0,584.0,0.0,56.0,False,1100.0,"Batesville, Arkansas","A private university located in Batesville, Arkansas"
Arkansas Technical School,-92.266429,34.753843,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,111.0,0.0,45.08695652173913,False,,"North Little Rock, Arkansas","A private university located in North Little Rock, Arkansas"
Arthur's Beauty College,-94.410967,35.379955,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,1735.7564102564102,295.9743589743589,45.08695652173913,False,,"Fort Smith, Arkansas","A private university located in Fort Smith, Arkansas"
University of Arkansas,-94.176981,36.070009,7666.0,10500.0,26690.0,28560.0,27472.0,4668.0,70.0,True,2082.0,"Fayetteville, Arkansas","A public university located in Fayetteville, Arkansas"
University of Arkansas at Pine Bluff,-92.018683,34.244031,6060.0,6240.0,13944.0,14070.0,1905.0,195.0,40.0,True,2959.0,"Pine Bluff, Arkansas","A public university located in Pine Bluff, Arkansas"
Arkansas State University-Beebe,-91.895351,35.074176,2736.0,10644.40909090909,4560.0,13757.227272727272,3010.0,0.0,45.08695652173913,True,480.0,"Beebe, Arkansas","A public university located in Beebe, Arkansas"
Arkansas State University,-90.679988,35.842388,6534.0,7176.0,11970.0,13248.0,8760.0,5272.0,53.0,True,578.0,"Jonesboro, Arkansas","A public university located in Jonesboro, Arkansas"
Arkansas Tech University,-93.13562,35.293237,5661.0,5995.0,5661.0,11989.0,8808.0,679.0,43.0,True,2513.0,"Russellville, Arkansas","A public university located in Russellville, Arkansas"
University of Arkansas at Monticello,-91.811153,33.590909,5400.0,6840.0,11250.0,12720.0,2328.0,411.0,35.0,True,3468.0,"Monticello, Arkansas","A public university located in Monticello, Arkansas"
Arthur's Beauty College,-92.102579,34.891572,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,47.0,0.0,45.08695652173913,False,,"Jacksonville, Arkansas","A private university located in Jacksonville, Arkansas"
Baptist Health College Little Rock,-92.40692,34.713115,10603.0,10644.40909090909,10603.0,13757.227272727272,512.0,0.0,45.08695652173913,False,2990.0,"Little Rock, Arkansas","A private university located in Little Rock, Arkansas"
Black River Technical College,-90.951033,36.239793,2568.0,10644.40909090909,5136.0,13757.227272727272,1544.0,0.0,45.08695652173913,True,2016.0,"Pocahontas, Arkansas","A public university located in Pocahontas, Arkansas"
University of Central Arkansas,-92.457672,35.077945,5281.0,7140.0,10562.0,14280.0,7884.0,1906.0,53.0,True,2978.0,"Conway, Arkansas","A public university located in Conway, Arkansas"
Central Baptist College,-92.445021,35.083838,10644.40909090909,18150.0,13757.227272727272,18150.0,550.0,0.0,43.0,False,1530.0,"Conway, Arkansas","A private university located in Conway, Arkansas"
Cossatot Community College of the University of Arkansas,-94.3673,34.043389,2820.0,10644.40909090909,3270.0,13757.227272727272,1387.0,0.0,45.08695652173913,True,1596.0,"De Queen, Arkansas","A public university located in De Queen, Arkansas"
Crowley's Ridge College,-90.584395,36.064845,10644.40909090909,13740.0,13740.0,13757.227272727272,225.0,0.0,33.0,False,2700.0,"Paragould, Arkansas","A private university located in Paragould, Arkansas"
East Arkansas Community College,-90.767726,35.041655,3108.0,10644.40909090909,3900.0,13757.227272727272,1273.0,0.0,45.08695652173913,True,1020.0,"Forrest City, Arkansas","A public university located in Forrest City, Arkansas"
Paul Mitchell the School-Little Rock,-92.222202,34.789913,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,411.0,0.0,45.08695652173913,False,,"North Little Rock, Arkansas","A private university located in North Little Rock, Arkansas"
National Park College,-93.119248,34.512687,3600.0,10644.40909090909,4710.0,13757.227272727272,2308.0,0.0,45.08695652173913,True,2450.0,"Hot Springs, Arkansas","A public university located in Hot Springs, Arkansas"
University of Arkansas Community College-Batesville,-91.615852,35.792923,2376.0,10644.40909090909,3000.0,13757.227272727272,1118.0,0.0,45.08695652173913,True,1542.0,"Batesville, Arkansas","A public university located in Batesville, Arkansas"
Harding University,-91.726143,35.247386,13036.0,24240.0,13036.0,24240.0,3496.0,1112.0,71.0,False,648.0,"Searcy, Arkansas","A private university located in Searcy, Arkansas"
Henderson State University,-93.059703,34.128155,5670.0,5928.0,7848.0,8136.0,1493.0,643.0,39.0,True,1644.0,"Arkadelphia, Arkansas","A public university located in Arkadelphia, Arkansas"
Hendrix College,-92.443256,35.101565,36300.0,36300.0,36300.0,36300.0,1098.0,9.0,69.0,False,350.0,"Conway, Arkansas","A private university located in Conway, Arkansas"
Hot Springs Beauty College,-93.037277,34.496057,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,92.0,0.0,45.08695652173913,False,,"Hot Springs, Arkansas","A private university located in Hot Springs, Arkansas"
Jefferson Regional School of Nursing,-92.018045,34.187831,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,80.0,0.0,45.08695652173913,False,,"Pine Bluff, Arkansas","A private university located in Pine Bluff, Arkansas"
John Brown University,-94.560283,36.189812,14520.0,29488.0,14520.0,29488.0,1882.0,459.0,67.0,False,1344.0,"Siloam Springs, Arkansas","A private university located in Siloam Springs, Arkansas"
Career Academy of Hair Design,-94.12947,36.167605,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,244.0,0.0,45.08695652173913,False,,"Springdale, Arkansas","A private university located in Springdale, Arkansas"
Academy of Salon and Spa,-94.41616,35.38097,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,81.0,0.0,45.08695652173913,False,,"Fort Smith, Arkansas","A private university located in Fort Smith, Arkansas"
Arkansas State University Mid-South,-90.22285,35.145736,3552.0,10644.40909090909,4560.0,13757.227272727272,1021.0,0.0,45.08695652173913,True,0.0,"West Memphis, Arkansas","A public university located in West Memphis, Arkansas"
Arkansas Northeastern College,-89.921005,35.898597,2380.0,10644.40909090909,3780.0,13757.227272727272,1451.0,0.0,45.08695652173913,True,470.0,"Blytheville, Arkansas","A public university located in Blytheville, Arkansas"
New Tyler Barber College Inc,-92.254171,34.760085,8767.096153846154,10644.40909090909,11039.596153846154,13757.227272727272,58.0,0.0,45.08695652173913,False,,"North Little Rock, Arkansas","A private university located in North Little Rock, Arkansas"
North Arkansas College,-93.08844,36.219909,3000.0,10644.40909090909,4728.0,13757.227272727272,1930.0,0.0,45.08695652173913,True,816.0,"Harrison, Arkansas","A public university located in Harrison, Arkansas"
Northwest Technical Institute,-94.115346,36.178032,4184.0,10644.40909090909,4184.0,13757.227272727272,217.0,0.0,45.08695652173913,True,1000.0,"Springdale, Arkansas","A public university located in Springdale, Arkansas"
Ouachita Baptist University,-93.052471,34.126093,16813.0,31780.0,16813.0,31780.0,1734.0,81.0,70.0,False,700.0,"Arkadelphia, Arkansas","A private university located in Arkadelphia, Arkansas"
Arkansas State University Three Rivers,-92.821416,34.378745,2616.0,10644.40909090909,3216.0,13757.227272727272,2028.0,0.0,45.08695652173913,True,952.0,"Malvern, Arkansas","A public university located in Malvern, Arkansas"
